PuzzleId,GameId,FEN,Moves,Rating
34xsW,,2r4k/1pr2Npp/p3Qp2/2Pp4/3P1P2/P2RP2P/4q1P1/6K1 b - - 2 28,c7f7 e6c8 f7f8 c8f8,1097
34xyO,,2k5/1pp2n2/2p1P3/7R/P2P3P/2P2K2/1r6/8 b - - 0 40,f7d6 h5h8 d6e8 h8e8,600
34yTZ,,kQ1r3r/pp3ppp/Nn2p1q1/8/5PP1/P7/1P5P/2R2RK1 b - - 8 28,d8b8 a6c7,1115
34xpb,,5r1k/p4qp1/1p2r2p/2p5/5p1Q/P1B4R/1P4P1/7K b - - 7 49,e6e3 h4h6 h8g8 h6h8,1181
34xHx,,r1bq1rk1/pp3ppp/2n1p3/8/3PQ3/3B1N2/PPP3PP/R3K2R b KQ - 4 12,c6b4 e4h7,519
34xQG,,r2r2k1/1bq1b1p1/p3p1Qp/1p5N/3n4/5N2/PPP2PPP/R4RK1 b - - 2 22,e7f8 h5f6 g8h8 g6h7,1168
34xQh,,5rk1/1p3ppp/6q1/p1nN4/P3P3/KP4P1/8/R6R b - - 1 31,g6g3 d5e7 g8h8 h1h7 h8h7 a1h1 g3h2 h1h2,1437
34z5t,,2kr3r/1n1p1ppp/pp2pn2/q7/2P5/2P2QB1/P1N2PPP/R4RK1 b - - 3 18,b7c5 f3a8,1121
34z6F,,r5k1/pp3ppp/2p5/4r3/1QBBb3/5qPP/PP3P2/R4RK1 w - - 2 19,d4e5 f3g2,670
34z9C,,2R5/pp3pk1/3p1bp1/3Pp3/8/5P1Q/q3r2P/6RK b - - 5 29,f6e7 h3h8,797
34yxM,,6rk/1b3prR/5Q2/4pP2/P4q2/6R1/P5PP/3BK3 b - - 0 35,h8h7 g3h3 f4h4 h3h4,1129
34yhE,,4r1k1/5ppp/1p6/p1n1r3/3N1q2/P1P4P/2Q2PP1/1R1R2K1 w - - 3 31,b1b6 e5e1 d1e1 e8e1,1003
34yr0,,1r6/p2n3p/BP4p1/P1pb4/3pkP2/4p1PP/4K3/1R1R4 b - - 0 38,a7b6 a6d3,971
34yw7,,2R5/7k/p3N1p1/4bp2/8/4nN2/P5r1/7K b - - 5 41,e5g3 f3g5 h7h6 c8h8,1350
dSN6m,,6k1/p3r1b1/5p1p/1pqp3P/5PQ1/6R1/PP4P1/3R3K w - - 0 36,d1d2 e7e1 h1h2 c5g1 h2h3 g1h1,1418
dSN9J,,r3q1k1/p1p1rppp/1p3n2/8/7Q/2NR4/PPP2PPP/5RK1 w - - 0 18,f1d1 e7e1 d1e1 e8e1,617
dSN0s,,r5k1/pp1r1pp1/2pP3p/8/1q6/3Q1PP1/P3R1KP/4R3 b - - 2 26,d7d6 e2e8 a8e8 e1e8,828
dSMg7,,3r3r/1pb2P1p/1k1q3N/2p1p2R/Q7/8/PPP4P/2K4R w - - 1 32,h6f5 d6d2 c1b1 d2d1 h1d1 d8d1,1104
dSMss,,4r2k/p1b2p2/4qp1p/1Pp3p1/P1P5/5N1P/2Q2PP1/3R2K1 w - - 1 25,d1e1 e6e1 f3e1 e8e1,693
dSNbN,,1r4k1/2p2p1p/6p1/p1n5/P7/2bP3P/B1PB1PP1/1rKR3R w - - 5 24,a2b1 c3b2,1204
dSNwr,,r5rk/2q2p1p/p4PpQ/1pPp4/1P3Rb1/P2pP3/7P/2R3K1 b - - 1 27,g4f5 h6h7 h8h7 f4h4,1509
dSNR6,,2kr3r/pp1n1pp1/2pBp1p1/2Pn2q1/Q2P4/8/PP3P1P/R3KB1R b KQ - 3 16,h8h4 a4c6 b7c6 f1a6,2199
dSNEI,,2k1r3/ppp2p1p/8/2b5/6q1/2PR1N1N/PPQ1r1PP/5R1K w - - 1 22,d3d2 g4g2,1116
dSNQD,,5rk1/2R2p2/1p2p2p/6b1/4P1P1/Pp1q1Q2/1P1r1P1P/KR6 b - - 0 28,f8a8 f3f7 g8h8 f7g7,861
dSMY9,,4r3/p5kp/1p6/2pQ2P1/5N2/8/PPP5/1K2r2R w - - 1 31,h1e1 e8e1 d5d1 e1d1,399
dSKBu,,rn1qk1nr/pp3ppp/2p1p3/4P3/3p1PPb/3P1K1P/PPP5/RNBQ1B1R w kq - 0 10,f1e2 d8d5,657
dSKRk,,3k1r2/r2PR3/p1B3p1/1p2p2p/7P/4K3/PP6/8 b - - 8 41,a7c7 e7e8 f8e8 d7e8q,706
dRrsX,,2k3rr/1p3pp1/p2b4/2pR3p/2P5/1P1PP2q/PB2B3/R2Q2K1 w - - 0 22,d1f1 h3h2,1028
dRsG0,,3r2k1/1pq2ppp/p4b2/3R4/1P2Q3/P4NP1/5P1P/6K1 b - - 0 26,d8d5 e4e8,1187
dRsAR,,r1b1k2r/4bp2/p1q1p3/4P1B1/2p4P/3p4/PPPQNP2/2KR3R b kq - 1 20,d3e2 d2d8 e7d8 d1d8,1568
dSM4F,,5r2/p4kp1/4p3/4Pp2/7R/P7/2P1nPP1/5R1K w - - 1 33,h4a4 f8h8 a4h4 h8h4,1043
dSMTk,,4b2r/7k/pR5R/3p1nQp/3q2p1/N1rN2P1/5P2/6K1 b - - 3 31,f5h6 b6h6,1842
dSM4A,,5bk1/4r1pp/1p1BP3/1Pp2R2/8/7P/6PK/q7 b - - 2 42,e7e6 f5f8,462
dSKYz,,1k1r4/pp6/1qp2p1p/3rpBbP/6P1/Q4P2/PPP5/1K1R2R1 w - - 2 29,d1d5 b6g1 d5d1 d8d1,1107
dSLAs,,2kr4/b1p2p2/3p1p2/Np1Q3p/1P1P4/2Pq3r/6P1/2R3RK w - - 0 33,g2h3 d3h3,621
dSO3I,,4r2k/p1b1qpp1/2p2p2/1pPb1B2/3P3p/1P2N2P/P1Q2PP1/3R2K1 w - - 5 31,e3d5 e7e1 d1e1 e8e1,1097
dSPfN,,2rq1rk1/1p1b1p2/p4p1p/3pnN2/8/P1PB4/2P3PP/R2Q1RK1 b - - 1 23,e5d3 d1g4 g8h8 g4g7,1673
dSPrK,,r1b1k2r/1pp2pp1/p1p2q1p/2b1p3/4PP2/2NP4/PPP3PP/R2QK1NR w KQkq - 0 9,f4e5 f6f2,909
dSPV8,,8/6p1/3p1r2/3B1k2/2P3R1/p6P/5RPK/3q4 b - - 5 45,f5e5 g4e4,1436
dSPL4,,8/8/8/5K1k/5p2/8/5r2/6R1 b - - 1 57,f4f3 g1h1 f2h2 h1h2,1337
dSPSL,,Q7/2r3kp/3p2p1/6P1/1K1P4/1P2PR2/1P3q2/3r4 b - - 3 33,f2e2 a8f8,810
dSQZ6,,2r4k/pp5p/4R1p1/P4r2/2Bb1q2/1Q1P4/1P3PPP/5RK1 w - - 2 22,e6e4 d4f2 g1h1 f4h2 h1h2 f5h5 e4h4 h5h4,1545
dSQla,,5bk1/6p1/6Bp/3p1Q2/3P1P2/4q3/6K1/8 b - - 3 52,e3d4 f5f7 g8h8 f7f8,1126
dSQXh,,2r3k1/p4p1p/4p1p1/8/2r2q2/8/1QBR1P1P/1K1R4 b - - 3 26,c4b4 d2d8 c8d8 d1d8,794
dSQ35,,r5k1/p2P1ppp/1p6/5Pn1/8/8/PP5K/1B2R3 b - - 0 29,a8d8 e1e8 d8e8 d7e8q,799
dSQH8,,r3k1r1/p2bqppp/1pp1pn2/4Q3/3P4/P2B1N1P/1PP2PP1/2KR3R b q - 1 19,e8c8 d3a6,877
dSPG8,,4r3/1Q3p1k/p6p/2p2p2/P2r4/1P1P4/2P2PPP/R3q1K1 w - - 3 30,a1e1 e8e1,597
dSOu4,,7k/3bq3/p3p1Qp/1p1p2b1/7P/6R1/P1P3P1/7K b - - 2 34,g5f4 g6g8,737
dSOyB,,r4rk1/5pB1/b7/p1bp1N2/Pp2n3/1B6/5qPP/R2QR2K w - - 2 24,g7f8 f2g1 e1g1 e4f2,1384
dSOnm,,r4rk1/p1qn1ppp/bp1ppn2/2pP2B1/P1P5/2PQPN2/2B2PPP/R4RK1 b - - 0 13,f6d5 d3h7,680
dSOSB,,4Q3/6pk/7p/6n1/2P3P1/7P/P4q1K/6R1 w - - 1 42,g1g2 g5f3 h2h1 f2f1 g2g1 f1g1,1180
dSObR,,8/8/4p2p/2Q3k1/6P1/1P3K2/1q6/8 b - - 2 52,g5h4 c5h5,692
dSP3q,,2R5/p2r1pk1/1p2p3/3b4/1P1N2Pq/P3P3/4Q3/6K1 w - - 1 31,e2h2 h4e1,1031
dSPDH,,5k2/5p2/5p1p/1Np1b3/2P5/1P5P/r4PP1/4R1K1 w - - 2 26,e1e3 a2a1 e3e1 a1e1,719
dSP2l,,rn3k1r/4p1bp/3qP1pn/p4p2/1p6/1B1QBN2/PP2N1PP/2R2RK1 b - - 0 21,d6d3 c1c8 d3d8 c8d8,472
dSOya,,4r2k/pRp3pp/8/8/6PP/8/P4nK1/4Q3 b - - 0 41,e8e1 b7b8 e1e8 b8e8,575
dSP0e,,r5k1/1b1p2Pp/p1n1p3/1p6/3P4/4nNPq/PP1NB2P/R2Q1R1K w - - 1 20,d1e1 h3g2,934
dRsHf,,1k3br1/1pp3pp/p1p1r1n1/4P3/2P2q2/3QB3/PPP2PPP/3RR1K1 b - - 4 20,f4e5 d3d8,824
dRvev,,6k1/1p1bpp1p/p2p2p1/q2P4/3QP3/P2B1P2/1Pr3PP/6K1 w - - 0 21,d3c2 a5e1,742
dRvQu,,r1b2rk1/pp1nbp2/2p1pn1Q/4N3/3P2R1/2NB4/PqP3PP/R5K1 b - - 1 15,f6g4 h6h7,1182
dRvrD,,8/2p2p2/1p6/3R2p1/1kP2b2/1P6/1Kb5/8 b - - 18 55,c2e4 d5b5,798
dRw8V,,r2q3r/pbpN1pkp/1pn4p/2bQP3/2B5/5N1P/PP3PP1/R3R1K1 b - - 2 16,c6a5 d5f7,616
dRvrZ,,3qr1k1/5ppp/1ppP2b1/2P5/1P1bP3/2N2P2/r6P/2RQ1RK1 w - - 0 27,d1d4 d8g5 g1h1 g5g2,1129
dRv2J,,8/8/1R1n2p1/3pkp2/7P/rp2P1P1/5PK1/5B2 b - - 3 48,d6e4 f2f4,1005
dRuya,,2Q2rk1/5ppp/8/1pP5/2q5/8/1P2RPPP/4R1K1 b - - 0 25,f8c8 e2e8 c8e8 e1e8,584
dRvGt,,6k1/6p1/3p4/P2P3p/1P2P2r/2q4P/6P1/5QRK w - - 0 40,f1e1 h4h3 g2h3 c3h3,952
dRvPg,,r7/ppp1r3/3kq3/3p1B2/8/6QP/PP4P1/2R4K b - - 1 29,e6e5 g3a3 c7c5 a3c5,1991
dRvO3,,6rk/Q4Rpp/p7/5p2/1n6/1Pp5/2Pq1P1P/1K4R1 w - - 4 30,f7g7 d2c2 b1a1 c2b2,1020
dRwSf,,r1b2rk1/5ppp/1bQ1p3/6B1/PRP1n3/5NP1/5qBP/4R1K1 w - - 0 25,g1h1 f2g1 e1g1 e4f2,1469
dRxb7,,r5k1/1p1b1ppp/p1p5/3p4/PP1P4/3BQPbP/6Pq/1R2RK2 b - - 10 27,d7h3 e3e8 a8e8 e1e8,711
dRxSb,,8/1p1Q1kpp/8/2p1p2r/1nP2p2/pP3P1N/P1q1n1PR/K6R b - - 2 32,f7g6 d7e6,1678
dRxoo,,5rk1/p2R2pp/8/2P1pq2/8/P7/6PP/3Q3K w - - 2 27,h1g1 f5f2 g1h1 f2f1 d1f1 f8f1,1091
dRxy7,,3R4/ppb2p1k/2p2qp1/8/Q2Br1bp/2P3P1/PP3P1P/6K1 w - - 0 25,d4f6 e4e1 g1g2 h4h3,1373
dRxq2,,2k1r3/pp4Qp/8/8/7q/P2r3P/6P1/2R4K b - - 1 30,c8b8 g7c7 b8a8 c7c8 e8c8 c1c8,1198
dRwXT,,1kb5/8/pP6/K1b5/6P1/5BB1/4p3/8 b - - 2 55,c5d6 g3d6,811
dRwVk,,8/R1p1r3/1p1p1kp1/5p1p/2P4P/1P1RPKP1/1r3P2/8 w - - 2 34,f3f4 b2f2,1598
dRwtM,,5rk1/1p3r1p/p3p3/2NpP3/1P1Q1bPq/P4P2/4R1K1/5R2 w - - 5 31,d4f2 h4h2,944
dRx3e,,r4b1r/3Bpppp/3p4/Q2N1k1b/5Pn1/7q/PP6/R1B1R1K1 b - - 1 24,f5g6 f4f5,1378
dRwyH,,3r2k1/pp3ppp/8/3R1Q2/2n4N/6P1/PP3PPK/2q5 b - - 2 28,d8d5 f5c8 d5d8 c8d8,1089
dRuxs,,1r1k2r1/2p1n3/2n2R2/2Np3p/QP1B2q1/2P3b1/P6P/5R1K b - - 2 30,g3d6 f6f8 g8f8 f1f8,1656
dRsvy,,2b1r1k1/7p/pq2pbpB/1p1Q2N1/3p4/1P6/P4PPP/1B2R1K1 b - - 0 24,e6d5 e1e8,720
dRsvM,,5r1k/1R2NR1p/6pP/1p6/p7/1r6/7P/6K1 b - - 0 36,f8f7 b7b8 f7f8 b8f8,1629
dRt8k,,4q2k/5p1p/5p2/3B3Q/8/p1P5/6PP/6rK w - - 0 37,h1g1 e8e1,456
dRtKu,,6rk/6p1/3QR2p/3p1q2/8/7P/5PPK/8 b - - 0 48,f5f2 e6h6 g7h6 d6h6,924
dRtAt,,3r3r/1p3p1p/pknN1p2/b2p4/3P4/7P/1Q2BPP1/5K2 b - - 1 22,b6a7 b2b7,961
dRsZI,,r3r1k1/ppp2ppp/2n5/3p3b/3Pn2q/2B4P/PPP1BPPN/R2QR1K1 w - - 3 14,e2h5 h4f2 g1h1 e4g3,1044
dRsO1,,r7/8/8/5R1p/p1B3bk/P2PR3/1PPr4/2K5 w - - 0 46,f5f4 d2d1,799
dRscg,,r1b1k1nr/pp1p1ppp/n3pq2/2b5/8/P1N5/1PPBPPPP/R2QKBNR w KQkq - 0 7,b2b4 f6f2,459
dRsnF,,r5k1/2p2r2/1nQ3p1/p3p1q1/2P5/P1N2p2/1P3PB1/R4RK1 w - - 0 29,c3e4 g5g2,1135
dRsiI,,r2q1rk1/1ppbnppp/1p1p4/1B6/1P1QP3/P7/1BP2PPP/R4RK1 b - - 0 13,d7b5 d4g7,514
dRtWt,,3r1r1k/1p4pp/p1p1Q1p1/8/4P2R/PB3q2/KPP5/8 b - - 7 35,f3f6 h4h7 h8h7 e6h3 f6h4 h3h4,1317
dRuBu,,r4r1k/pp4p1/2nb3p/3Q4/3PN3/4P1Pb/PP4BP/R1B2qK1 w - - 1 18,g2f1 f8f1,556
dRuAX,,4Rn1k/pp1P2bp/2q3p1/8/1P6/P4Q2/5PKP/8 b - - 8 44,c6d7 e8f8 g7f8 f3f8,1085
dRuEf,,2R5/p4pk1/5qBp/p2pN3/3P4/4P3/Pr3PPP/2R3K1 w - - 1 26,g6f7 f6f2 g1h1 f2g2,851
dRucM,,8/1p3p1k/1pp5/6Q1/2PPqb2/1P3pP1/5P2/5K2 w - - 0 32,g5f4 e4b1 f4c1 b1c1,1828
dRuSk,,5r1k/2bP3p/p3Qp2/2p2P2/4P3/1P2q2P/P5RK/6R1 w - - 2 36,h2h1 e3h3 g2h2 h3h2,1088
dRtlJ,,8/2p5/1pB1ppp1/1P3k1p/3b1P1P/5KP1/3r1P2/5R2 b - - 1 33,g6g5 c6e4,1054
dRta1,,6rk/p4R1p/Q1p5/3p4/3bp1qp/2N1P3/PPP3PP/6K1 w - - 0 24,e3d4 g4g2,900
dRts8,,6k1/5ppp/6r1/P2q4/R2N4/1P2P3/1Q3PPP/6K1 w - - 1 37,d4f3 d5d1 f3e1 d1e1,564
dRu8e,,7k/3q1K2/5P2/6Qp/7P/6P1/8/8 w - - 23 64,f7g6 d7h7,1161
dRu2s,,rb1q2k1/1p3p2/2n2B2/1p1p4/3P2b1/1PPQ4/2B2PPP/4R1K1 b - - 0 20,d8f6 e1e8 g8g7 d3h7,1848
dSQlv,,rnbq1rk1/ppp1bppp/4p2B/3pP3/3Pn1Q1/8/PPP2PPP/RN2KBNR b KQ - 4 7,f7f5 g4g7,559
dSZVw,,8/6pk/6qp/2P2p2/1P2Q3/4PP1P/3R1K2/r7 w - - 0 36,e4f4 g6g1 f2e2 g1f1,1511
dSa1P,,1r6/N2kbppp/2b5/2p1p3/8/2R5/P4PPP/6KR w - - 2 26,a7c6 b8b1 c3c1 b1c1,647
dSZRn,,2kr3r/pp3ppp/4p3/nBPnPb2/8/P4N1P/1P1N1PP1/2KR3R w - - 3 15,d2c4 a5b3,929
dSZIX,,r1b2rk1/pp1pQppp/1q1N4/3p4/2B2P2/8/P1P3PP/4R2K b - - 1 21,d5c4 e7f8 g8f8 e1e8,1659
dSZQv,,4r1k1/2p1q1p1/p2b1pQp/7N/8/8/PPP3PP/3R3K w - - 8 28,h2h3 e7e1 d1e1 e8e1,971
dSaQS,,8/5pkp/pB2pQp1/P3P3/4q3/6RP/2r1r1PK/8 b - - 14 48,g7f8 f6h8 f8e7 h8d8,1606
dSaib,,4r2r/pp2qpk1/2p2R1p/3pP1pQ/8/3BP3/PPP3PP/6K1 b - - 3 29,e8f8 f6g6 f7g6 h5g6,1247
dSaN2,,4r2k/ppp1P1pp/8/3QP3/2n3P1/2q3B1/P1P4P/1K1R3R w - - 1 26,d5d4 c4a3 b1c1 c3c2,1470
dSa9R,,rn1qkb1r/ppp1n1pp/5p2/4N3/2BPp1b1/2N1P3/PP3PPP/R1BQ1RK1 b kq - 1 8,g4d1 c4f7,1135
dSaBU,,4r1k1/5p2/6p1/1BQp4/8/1P3Pn1/P3rKPq/2RR4 w - - 9 41,b5e2 e8e2,1371
dSZC3,,4Q3/p4rp1/6k1/2B4R/8/2P3PP/Pr4PK/5q2 w - - 4 47,e8h8 b2g2,820
dSY5x,,6k1/4pr2/3pQb1p/4p3/1P1pP2P/P4bq1/8/1R3BRK w - - 2 32,f1g2 g3h4 e6h3 h4h3,1750
dSY5z,,3Nr1k1/p5Pp/8/3b1Q2/1p6/4p2P/3q4/5RK1 b - - 3 49,e3e2 f5f8 e8f8 g7f8q,1663
dSY49,,2bB1R1k/2p2rpp/1p1p4/3P4/1PPP4/3r4/6PP/5RK1 b - - 0 25,f7f8 f1f8,966
dSXhh,,4r1k1/p5pp/1p1RP3/2p5/2N5/2b5/P6P/7K b - - 2 31,e8e7 d6d8 e7e8 d8e8,505
dSXjF,,1n5k/p4pp1/1p2q2r/2p5/P7/2Q1P2P/1P3PB1/R5RK w - - 5 25,a1d1 h6h3 g2h3 e6h3,978
dSYWA,,1r1qkb1r/1bp2pp1/p1np3p/3Bp3/1p2P3/3P1Q1P/PPP2PPN/R1B2RK1 b k - 4 12,c6d4 f3f7,528
dSZ0G,,1r4k1/5p1p/2RKp3/3qP3/3B4/2P5/5Q2/8 w - - 11 57,d6c7 d5d8,892
dSYS6,,5rk1/pp1Q1ppp/8/8/3R4/1q3R1P/6PK/r7 b - - 5 27,b3b1 d7f7 f8f7 d4d8 f7f8 f3f8,1509
dSYLm,,1r6/1Kp5/2nk4/4p3/1P1bQ3/P2P3P/1r6/2R4R w - - 5 33,b7a6 b8b6,1732
dSYNa,,r5k1/5ppp/p5b1/3Pq1P1/4P3/2r5/PR3QP1/5RK1 b - - 0 33,g6e4 f2f7 g8h8 f7f8 a8f8 f1f8,912
dSb6F,,r1b2rk1/pp2npbp/4p1p1/1PP1n3/3q4/2N3P1/3P1PBP/1RBQK1NR w K - 0 13,g1e2 e5d3 e1f1 d4f2,1079
dScuZ,,r6k/1p1b2p1/pP1q3p/P2p4/8/3Q2PP/5P1K/RB6 b - - 0 37,d6f6 d3h7,472
dSd3r,,6k1/3qr1pp/p1n1P3/8/3p2Q1/8/5PPP/4R1K1 w - - 0 27,e6d7 e7e1,444
dSctZ,,4q1k1/pQ4pp/4pn2/3pNp2/3P4/4PP2/5KPP/8 b - - 7 38,e8a4 b7f7 g8h8 f7f8 f6g8 e5f7,1359
dScK8,,3r2k1/5ppp/p7/1p6/8/4RPq1/PPB5/4RK2 b - - 1 29,h7h6 e3e8 d8e8 e1e8,1358
dScKt,,r6k/5Bp1/p3p1Q1/1pP1q3/8/5bPn/PP3P1P/R2R1K2 w - - 2 32,d1d3 e5e2,997
dSdaG,,2r3k1/Q5pp/6r1/2BP4/2P1P3/5Pq1/P4R1p/4R2K w - - 2 32,a7a4 g3g1 e1g1 h2g1q,1717
dSdcN,,2r3k1/1br1qpB1/pn2p3/1p1pP3/3n4/PP1B3Q/5PPP/R3R1K1 b - - 0 26,g8g7 h3h7 g7f8 h7h8,996
dSdTf,,r4rk1/pp3ppp/2nb4/2pp4/6n1/3P1N1q/PPPBBP2/RN1QR1K1 w - - 2 14,e2f1 d6h2 f3h2 h3h2,1254
dSdEG,,8/8/5Kpk/5p2/8/8/7r/6R1 b - - 3 63,h2a2 g1h1 a2h2 h1h2,1512
dSdO2,,3r1rk1/2p1bppp/p3p1q1/8/1nPPb3/4BN2/P2QBPPP/3R1RK1 w - - 3 18,f3e5 g6g2,412
dSc9G,,3q2rk/p1p2bpp/1r4nQ/1p5R/2p5/P1B3P1/1PB2P1P/R5K1 b - - 10 24,g6f8 h6h7 f8h7 h5h7,1079
dSbah,,1Q5k/p4ppp/4pn2/8/2r3P1/1B2P2P/P3q3/3R2K1 b - - 1 24,f6g8 b8g8 h8g8 d1d8,1440
dSbf6,,1kr5/1b2R3/8/Q7/3P3P/6P1/1P3P2/6K1 w - - 1 39,a5b6 c8c1 e7e1 c1e1 g1h2 e1h1,640
dSbR0,,r4rk1/1pp2ppp/p2p4/3P1Q2/2PB1b1q/2P2P2/PP3P1P/R4RK1 w - - 3 18,f5g4 h4h2,990
dSbGz,,3r2k1/3q3p/p5R1/1pp5/5P1Q/2P5/PP1r4/K6R b - - 0 31,h7g6 h4h8 g8f7 h1h7 f7e6 h8e5,1441
dSbJC,,r1b2rk1/pp2b1pB/1n1qPp2/3p4/3n3N/8/PP1NQ1PP/R1B1K2R b KQ - 0 15,g8h8 h4g6 h8h7 e2h5 h7g8 h5h8,1471
dSc3B,,2r3k1/p4p1p/5Qp1/8/2q5/8/PP6/1KN4R w - - 5 36,h1f1 c4c2 b1a1 c2c1 f1c1 c8c1,1362
dSc6F,,5r1k/p5pp/2R5/3p4/8/2N3Q1/P1q3PP/6K1 w - - 0 24,c6c7 c2c1 c3d1 c1d1 g3e1 d1e1,1172
dSc0p,,r2q1rk1/p1pn1p1B/2ppb2B/4P3/7b/2N3QP/PPP2PP1/R3R1K1 b - - 2 17,g8h7 g3g7,770
dSbph,,r4rk1/5pp1/1q1p3b/p2Pp2P/1p2N3/3Q1P2/PPP5/1K4RR b - - 1 25,a5a4 e4f6 g8h8 d3h7,969
dSbwY,,r1b2rk1/pp2pp1p/3p2pQ/8/3qn3/3B4/PP3PPP/RN1R2K1 w - - 0 15,d3e4 d4d1,608
dSXXn,,8/5Qpk/8/7p/3P2qn/1N4P1/PP3P1P/6K1 w - - 1 35,f7f4 g4d1,1099
dSToc,,r4rk1/ppp2pp1/4bq1p/2b1N3/2B1P3/3P3P/PPP2PP1/R2QK2R w KQ - 1 13,c4e6 f6f2,986
dSTqB,,6k1/1p5p/p4R2/8/3p4/6B1/PP2r1PP/7K w - - 1 34,f6f2 e2e1 f2f1 e1f1,1091
dSTkE,,5rk1/pQp3pp/p7/2b5/3r4/P1P5/1P4PP/5NK1 w - - 0 22,c3d4 c5d4 f1e3 d4e3 g1h1 f8f1,856
dSTAd,,2k2b1r/pbp2p1p/8/4q1p1/Q1P5/2NK1P2/PP4PP/R7 b - - 1 18,e5h2 a4e8,746
dSTSy,,r1bqr1k1/p4p1p/2p3p1/2pp4/P2b1P2/2NP2Q1/BPP2nPP/R1B2R1K w - - 4 16,f1f2 e8e1 f2f1 e1f1,828
dSUBx,,1b2r2k/1p4pp/p2q4/3B4/1PP5/P6P/5Q2/5R1K w - - 6 47,f2f7 d6h2,784
dSUE7,,r5r1/1b3p1k/5Bp1/p3PpQp/2p5/7R/q5PP/6RK b - - 1 32,a8b8 h3h5 g6h5 g5h5,1259
dSU92,,8/3bk3/2p1pnPp/1p6/3P4/q7/2p2QB1/5RK1 b - - 1 40,f6g4 f2f8,1824
dSTqo,,1k6/1p6/pq2r3/3p4/2n4p/2P5/PP2Q2P/K3R3 w - - 0 34,e2e6 b6b2,726
dSTsI,,1B6/8/4R3/8/p5p1/8/rbp1kP1P/6K1 b - - 0 44,e2f3 e6e3,1185
dSSsC,,rn1qkbnr/pp3pp1/2pp3p/4P3/2B1P3/2P2Q2/PP3PPP/RNB1K2R b KQkq - 0 7,d6e5 f3f7,1099
dSROD,,R1kr3r/1p1nq3/1p1p1n1b/3Pp3/7p/2N1P1p1/2PN1PPP/1Q3RK1 b - - 1 21,c8c7 c3b5,827
dSRnC,,r3r1k1/1b3pb1/7p/p2q4/1Ppp2p1/P1n3B1/N1P1BPPP/1R1QR1K1 w - - 2 26,a2c3 d5g2,626
dSRBD,,2kr3r/pp4pp/4b3/4q3/8/2P5/PP3PPP/RN2R1K1 w - - 0 21,e1e5 d8d1 e5e1 d1e1,538
dSQr3,,6k1/p3p2p/6p1/2p1R3/2P2bN1/1P5P/P2r1PP1/6K1 w - - 5 29,e5e7 d2d1 e7e1 d1e1,582
dSQvq,,rn1r2k1/pp3ppp/5q2/3P1b2/8/P2BQN1P/5PP1/2R1R1K1 b - - 2 22,f5d3 e3e8 d8e8 e1e8,1089
dSSTN,,5q1k/7p/R5p1/1Qp5/8/1P1Ppr2/1P2r1RP/7K w - - 0 34,g2e2 f3f1 h1g2 f8f3,1055
dSSfV,,1r5k/2p2Q1P/p1pb4/8/4p3/1B4R1/PqP3PK/8 b - - 0 32,b2e5 f7g8 b8g8 h7g8q,1226
dSSDF,,7k/rpr5/8/1N1Bp2p/5pp1/3K1P2/5nPP/R6R w - - 2 39,d3e2 c7c2 e2f1 a7a1,1427
dSS7R,,7k/2p2ppp/p7/4P3/3q4/P4Q2/1P4PP/5K2 b - - 1 30,d4e5 f3a8 e5e8 a8e8,1065
dSSC9,,r4r1k/p5pp/2p1Q3/3p4/N7/7n/PPP3PP/R4RqK w - - 4 19,f1g1 h3f2,952
dSULM,,1k1R4/pp4p1/1b2Qp1p/8/8/P1r3qP/1P6/K2R4 b - - 1 29,b6d8 d1d8 c3c8 d8c8,782
dSWQo,,r4rk1/p1q2pp1/4p2p/2Pp4/1P4n1/1QP5/P2NbRPP/R1B3K1 w - - 4 19,f2e2 c7h2 g1f1 h2h1,885
dSWSG,,5r1k/P5pp/8/3Qpq2/4n3/4P3/5rPP/R4RK1 w - - 0 28,f1f2 f5f2 g1h1 f2f1 a1f1 f8f1,1029
dSWFu,,1k3r2/ppp3b1/2P2p2/3P4/Q5p1/5Nq1/PP2B3/R4KBr b - - 0 26,g4f3 a4a7 b8c8 a7a8,1720
dSVxM,,8/1p6/8/1P6/2n2R1P/6Bk/r4P2/6K1 w - - 5 50,f4c4 a2a1 c4c1 a1c1,674
dSWEc,,5k2/pbp3bp/1p4p1/1N3n2/1P3P2/1QP5/P2r2P1/4R1K1 w - - 1 29,b3e6 d2g2 g1f1 f5g3,1215
dSX9J,,r2q3r/1pp3p1/p1b1kbB1/3n3p/3PQB2/2P4P/PP3PP1/R5K1 b - - 1 19,e6d7 g6f5,1244
dSXXN,,r1bk4/pp1nn1Qp/1qp5/3p2P1/5r1b/1P1B3P/P1PNN3/R4K1R w - - 2 18,e2f4 b6f2,813
dSX83,,r4rk1/pp4pp/8/8/4qn2/2PnQ2b/PP1B3P/R5RK w - - 0 28,e3e4 d3f2,1142
dSWmU,,8/p2Q2pk/7p/2p2p1q/1p3P2/1P1P1NPK/PbP1r3/5R2 w - - 3 29,f3h4 h5g4,1021
dSX1Y,,4r1k1/p4ppp/np3q2/8/Q4p1P/4rN2/PP1N1K2/R3R3 b - - 3 19,a6c5 a4e8 e3e8 e1e8,719
