PuzzleId,GameId,FEN,Moves,Rating
AYOM9,,1R3rk1/5pp1/4p2p/p2pP3/5b2/8/2B3PP/1R5K b - - 1 31,f8b8 b1b8,706
AYOQ1,,5R2/6pk/2p5/7p/4Q1b1/6q1/PPpr4/2K5 b - - 3 27,g7g6 e4e7 h7h6 f8h8,1132
AYOSs,,6k1/7b/1p2r2p/2p5/p1N5/2b2PB1/P1P3PR/3K4 w - - 0 32,g3f4 e6e1,514
AYP8N,,1k1r3r/pppbn2p/6p1/1N1Pp2q/P3P3/4Q1P1/1PPK3P/R4R2 b - - 0 20,a7a6 e3a7 b8c8 a7a8,792
AYPDW,,4r1k1/p1q2ppp/1p2r1B1/1Qp5/8/1P5P/P3RPP1/4R1K1 b - - 0 26,e6e2 b5e8 e2e8 e1e8,1309
AYPhk,,5rk1/3Q4/p3pq2/3pN1pn/3P2Pp/P3PP1K/1r6/2RR4 w - - 4 35,c1c7 f6f3 e5f3 f8f3,1546
AYOwt,,r4rk1/5p1P/p1pp1n1Q/q7/Np1pP1P1/1P3n2/P1P2P2/2KR3R b - - 0 20,g8h8 h6f6,1128
AYOxU,,4rrk1/5p2/2p2QN1/2Pb4/3P4/p1n1q3/P4RPP/5RK1 b - - 0 37,e8e6 f6h8,992
AYOzj,,5r1k/p5q1/1p5p/8/2P1Q3/7p/P1P2PP1/4R1K1 w - - 0 31,e4h4 g7g2,564
AYOGk,,6k1/3q1ppp/p3p3/1p6/1P6/Q6P/P1R1nPPK/1B5r w - - 8 32,h2h1 d7d1 h1h2 d1g1,1172
AYN0X,,r1b2r1k/pp3Npp/2p1p3/8/2P1n3/8/q4PPP/1R1QR1K1 b - - 0 16,f8f7 d1d8 f7f8 d8f8,564
AYN4N,,6R1/R7/1p2rk2/2p5/P7/1P6/7r/2K5 w - - 3 61,a7a8 e6e1,737
AYN4Z,,5k2/1R3p2/1p1r2pK/p1p2p1p/2P4P/1P3P2/8/8 b - - 5 43,f8g8 b7b8 d6d8 b8d8,459
AYMpS,,8/3r4/3B4/5N2/8/P4P2/2P2k1K/8 w - - 1 50,d6b4 d7h7 f5h4 h7h4,1203
AYMx4,,7Q/pr6/1pk3p1/4qp2/P1p1p1r1/2P5/1P5K/3R1R2 w - - 0 39,h8e5 b7h7,1137
